,Current,4Q24,1Q25,2Q25,3Q25,4Q25
Refi rate,3.40,3.15,2.65,2.40,2.15,2.15
Depo rate,3.25,3.00,2.50,2.25,2.00,2.00
3M Euribor,3.07,2.75,2.43,2.20,1.99,2.02
Euribor future,,2.67,2.20,1.99,1.90,1.89
2Y Schatz,2.11,2.10,2.05,2.00,2.00,2.00
fwd,,1.99,1.87,1.82,1.78,1.80
5Y Obl,2.10,2.10,2.10,2.10,2.10,2.10
10Y Bund,2.28,2.30,2.30,2.30,2.30,2.30
fwd,,2.27,2.28,2.30,2.32,2.35
30Y Bund,2.59,2.65,2.70,2.75,2.75,2.75
2/10,17,20,25,30,30,30
2/5/10,-18,-20,-15,-10,-10,-10
10/30,31,35,40,45,45,45
2Y EUR swap,2.30,2.45,2.40,2.35,2.35,2.35
5Y EUR swap,2.28,2.45,2.45,2.45,2.45,2.45
10Y EUR swap,2.41,2.60,2.60,2.60,2.60,2.60
10Y BTP,3.49,3.70,3.70,3.70,3.80,3.80
